ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
14421,ECON,2010,300,Lecture,"3","Marc Santugini Repiquet","MoWe 3:00PM - 3:50PM","Ruffner Hall G008","Principles of Economics: Microeconomics","",Open,122,125,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14533,ECON,2010,301,Discussion,"0","Ganna Prykhodko","Th 7:00PM - 7:50PM","Monroe Hall 110","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14534,ECON,2010,302,Discussion,"0","Ramiro Burga Villanueva","Th 8:00PM - 8:50PM","Wilson Hall 238","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14535,ECON,2010,303,Discussion,"0","Ganna Prykhodko","Th 6:00PM - 6:50PM","Minor Hall 130","Principles of Economics: Microeconomics","",Closed,27,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14536,ECON,2010,304,Discussion,"0","Roisin McCord","Fr 3:00PM - 3:50PM","Wilson Hall 238","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14537,ECON,2010,305,Discussion,"0","Roisin McCord","Fr 4:00PM - 4:50PM","Wilson Hall 214","Principles of Economics: Microeconomics","",Open,24,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14541,ECON,2010,306,Discussion,"0","Moogdho Mahzab","Fr 2:00PM - 2:50PM","Monroe Hall 110","Principles of Economics: Microeconomics","",Closed,24,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14422,ECON,2010,400,Lecture,"3","Marc Santugini Repiquet","MoWe 4:00PM - 4:50PM","Ruffner Hall G008","Principles of Economics: Microeconomics","",Closed,127,125,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
15116,ECON,2010,401,Discussion,"0","Wenqiang Cai","We 5:00PM - 5:50PM","Monroe Hall 110","Principles of Economics: Microeconomics","",Closed,26,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14538,ECON,2010,402,Discussion,"0","Wenqiang Cai","We 7:00PM - 7:50PM","New Cabell Hall 407","Principles of Economics: Microeconomics","",Open,24,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14539,ECON,2010,403,Discussion,"0","Ramiro Burga Villanueva","We 8:00PM - 8:50PM","Wilson Hall 238","Principles of Economics: Microeconomics","",Open,24,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14540,ECON,2010,404,Discussion,"0","Ganna Prykhodko","We 6:00PM - 6:50PM","Wilson Hall 214","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
15117,ECON,2010,405,Discussion,"0","Wenqiang Cai","We 6:00PM - 6:50PM","Monroe Hall 110","Principles of Economics: Microeconomics","",Open,25,26,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
15118,ECON,2010,406,Discussion,"0","Moogdho Mahzab","We 7:00PM - 7:50PM","New Cabell Hall 207","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
20074,ECON,2010,500,Lecture,"3","Marc Santugini Repiquet","MoWe 10:00AM - 10:50AM","Clark Hall 107","Principles of Economics: Microeconomics","",Closed,128,125,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
20076,ECON,2010,501,Discussion,"0","Ramiro Burga Villanueva","Th 6:00PM - 6:50PM","New Cabell Hall 309","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
20079,ECON,2010,504,Discussion,"0","Moogdho Mahzab","Fr 12:00PM - 12:50PM","Ruffner Hall 139","Principles of Economics: Microeconomics","",Closed,28,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
20080,ECON,2010,505,Discussion,"0","Roisin McCord","Fr 1:00PM - 1:50PM","Ruffner Hall 139","Principles of Economics: Microeconomics","",Closed,25,25,0,,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
10539,ECON,2020,100,Lecture,"3","Carter Doyle","MoWe 9:00AM - 9:50AM","Wilson Hall 402","Principles of Economics: Macroeconomics","",Closed,251,250,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14575,ECON,2020,101,Discussion,"0","Ariel Salvaro","We 6:00PM - 6:50PM","Monroe Hall 111","Principles of Economics: Macroeconomics","",Closed,21,20,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14576,ECON,2020,102,Discussion,"0","Ariel Salvaro","We 7:00PM - 7:50PM","Monroe Hall 110","Principles of Economics: Macroeconomics","",Closed,20,20,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14577,ECON,2020,103,Discussion,"0","Ariel Salvaro","We 8:00PM - 8:50PM","Monroe Hall 110","Principles of Economics: Macroeconomics","",Closed,20,20,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14578,ECON,2020,104,Discussion,"0","Hanna Charankevich","Th 6:00PM - 6:50PM","New Cabell Hall 191","Principles of Economics: Macroeconomics","",Open,24,25,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14579,ECON,2020,105,Discussion,"0","Hanna Charankevich","Th 7:00PM - 7:50PM","New Cabell Hall 395","Principles of Economics: Macroeconomics","",Open,24,25,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14580,ECON,2020,106,Discussion,"0","Hanna Charankevich","Th 8:00PM - 8:50PM","New Cabell Hall 395","Principles of Economics: Macroeconomics","",Closed,15,15,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14581,ECON,2020,107,Discussion,"0","Divya Pandey","Fr 12:00PM - 12:50PM","New Cabell Hall 395","Principles of Economics: Macroeconomics","",Closed,26,25,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14582,ECON,2020,108,Discussion,"0","Divya Pandey","Fr 1:00PM - 1:50PM","Dell 2 100","Principles of Economics: Macroeconomics","",Open,24,25,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
14583,ECON,2020,109,Discussion,"0","Divya Pandey","Fr 2:00PM - 2:50PM","Monroe Hall 116","Principles of Economics: Macroeconomics","",Closed,26,25,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
21394,ECON,2020,110,Discussion,"0","Gabriela Godinho Stockler Barbosa","We 6:00PM - 6:50PM","Cocke Hall 115","Principles of Economics: Macroeconomics","",Closed,19,0,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
21395,ECON,2020,111,Discussion,"0","Gabriela Godinho Stockler Barbosa","We 7:00PM - 7:50PM","Cocke Hall 101","Principles of Economics: Macroeconomics","",Closed,16,0,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
21396,ECON,2020,112,Discussion,"0","Gabriela Godinho Stockler Barbosa","We 8:00PM - 8:50PM","Cocke Hall 101","Principles of Economics: Macroeconomics","",Closed,16,0,0,,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
13831,ECON,2060,001,Lecture,"3","Mark Thomas","MoWeFr 12:00PM - 12:50PM","Wilson Hall 402","American Economic History","",Open,110,120,0,HIUS 2061-001  LEC (13815),"Surveys American economic history from colonial origins to the present. Cross-listed as HIUS 2061."
15272,ECON,3010,100,Lecture,"4","David Mills","MoWe 2:00PM - 3:15PM","Wilson Hall 301","Intermediate Microeconomics","",Closed,190,190,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
10540,ECON,3010,101,Discussion,"0","Ia Vardishvili","Mo 3:30PM - 4:20PM","Monroe Hall 110","Intermediate Microeconomics","",Closed,34,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
10541,ECON,3010,102,Discussion,"0","Ia Vardishvili","Mo 4:30PM - 5:20PM","Monroe Hall 110","Intermediate Microeconomics","",Open,31,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
10542,ECON,3010,103,Discussion,"0","Emily Cook","Tu 12:30PM - 1:20PM","Monroe Hall 110","Intermediate Microeconomics","",Closed,33,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
18801,ECON,3010,104,Discussion,"0","Emily Cook","Tu 1:30PM - 2:20PM","Monroe Hall 110","Intermediate Microeconomics","",Open,30,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
18802,ECON,3010,105,Discussion,"0","William Johnson","Tu 2:30PM - 3:20PM","Monroe Hall 110","Intermediate Microeconomics","",Closed,32,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
18803,ECON,3010,106,Discussion,"0","William Johnson","Tu 3:30PM - 4:20PM","Monroe Hall 110","Intermediate Microeconomics","",Open,30,33,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
15274,ECON,3010,199,Lecture,"4","Gaurab Aryal","TuTh 9:30AM - 10:45AM","Monroe Hall 130","Intermediate Microeconomics","",Closed,42,42,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14105,ECON,3010,200,Lecture,"4","Gaurab Aryal","TuTh 11:00AM - 12:15PM","Monroe Hall 130","Intermediate Microeconomics","",Closed,48,45,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14108,ECON,3010,204,Discussion,"0","Alexander Gross","Fr 1:00PM - 1:50PM","Monroe Hall 118","Intermediate Microeconomics","",Closed,30,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14109,ECON,3010,205,Discussion,"0","Alexander Gross","Fr 3:00PM - 3:50PM","Monroe Hall 110","Intermediate Microeconomics","",Closed,30,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14110,ECON,3010,206,Discussion,"0","Alexander Gross","Fr 2:00PM - 2:50PM","Monroe Hall 111","Intermediate Microeconomics","",Closed,30,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14698,ECON,3010,301,Lecture,"4","Maria Westerfield","TuTh 12:30PM - 1:45PM","Monroe Hall 130","Intermediate Microeconomics","",Closed,80,76,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14699,ECON,3010,302,Discussion,"0","Dajun Lin","We 6:00PM - 6:50PM","Wilson Hall 238","Intermediate Microeconomics","",Closed,31,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14700,ECON,3010,303,Discussion,"0","Dajun Lin","We 7:00PM - 7:50PM","Wilson Hall 214","Intermediate Microeconomics","",Open,27,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14701,ECON,3010,304,Discussion,"0","Dajun Lin","We 8:00PM - 8:50PM","Wilson Hall 214","Intermediate Microeconomics","",Open,22,30,0,,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
14429,ECON,3020,100,Lecture,"3","Toshihiko Mukoyama","MoWe 1:00PM - 1:50PM","Monroe Hall 130","Intermediate Macroeconomics","",Closed,75,75,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14430,ECON,3020,101,Discussion,"0","Jaeki Jang","Fr 4:00PM - 4:50PM","Minor Hall 130","Intermediate Macroeconomics","",Closed,25,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14431,ECON,3020,102,Discussion,"0","Jaeki Jang","Fr 2:00PM - 2:50PM","Minor Hall 130","Intermediate Macroeconomics","",Closed,25,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14432,ECON,3020,103,Discussion,"0","Jaeki Jang","Fr 3:00PM - 3:50PM","Minor Hall 130","Intermediate Macroeconomics","",Closed,25,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
13832,ECON,3020,200,Lecture,"3","Adesewa Osotimehin","MoWe 11:00AM - 11:50AM","Monroe Hall 130","Intermediate Macroeconomics","",Open,63,80,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14112,ECON,3020,201,Discussion,"0","Gao Meng","Fr 11:00AM - 11:50AM","Chemistry Bldg 303","Intermediate Macroeconomics","",Open,24,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14113,ECON,3020,202,Discussion,"0","Guillermo Hausmann Guil","Fr 1:00PM - 1:50PM","New Cabell Hall 191","Intermediate Macroeconomics","",Open,21,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
14114,ECON,3020,203,Discussion,"0","Guillermo Hausmann Guil","Fr 2:00PM - 2:50PM","New Cabell Hall 594","Intermediate Macroeconomics","",Open,18,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
13833,ECON,3020,300,Lecture,"3","Adesewa Osotimehin","MoWe 12:00PM - 12:50PM","Monroe Hall 130","Intermediate Macroeconomics","",Open,67,75,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
13923,ECON,3020,301,Discussion,"0","Gao Meng","Fr 10:00AM - 10:50AM","New Cabell Hall 303","Intermediate Macroeconomics","",Open,23,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
13924,ECON,3020,302,Discussion,"0","Guillermo Hausmann Guil","Fr 3:00PM - 3:50PM","New Cabell Hall 411","Intermediate Macroeconomics","",Open,19,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
13925,ECON,3020,303,Discussion,"0","Gao Meng","Fr 12:00PM - 12:50PM","New Cabell Hall 364","Intermediate Macroeconomics","",Closed,25,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
18805,ECON,3020,400,Lecture,"3","Jae Won Lee","MoWe 10:00AM - 10:50AM","Monroe Hall 130","Intermediate Macroeconomics","",Open,64,65,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
19604,ECON,3020,401,Discussion,"0","Jining Zhong","Th 6:00PM - 6:50PM","Clark Hall G004","Intermediate Macroeconomics","",Closed,26,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
19605,ECON,3020,402,Discussion,"0","Jining Zhong","Th 7:00PM - 7:50PM","Clark Hall G004","Intermediate Macroeconomics","",Closed,25,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
19606,ECON,3020,403,Discussion,"0","Jining Zhong","Th 8:00PM - 8:50PM","Clark Hall G004","Intermediate Macroeconomics","",Open,13,25,0,,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
19727,ECON,3030,100,Lecture,"3","Carter Doyle","MoWe 3:30PM - 4:20PM","Wilson Hall 301","Money and Banking","",Closed,139,140,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
15447,ECON,3030,200,Lecture,"3","Carter Doyle","MoWe 4:40PM - 5:30PM","Wilson Hall 301","Money and Banking","",Open,124,140,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
15570,ECON,3030,201,Discussion,"0","Diego Legal Canisa","Th 5:00PM - 5:50PM","New Cabell Hall 191","Money and Banking","",Closed,21,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
15571,ECON,3030,202,Discussion,"0","Diego Legal Canisa","Th 6:00PM - 6:50PM","New Cabell Hall 368","Money and Banking","",Closed,22,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
15572,ECON,3030,203,Discussion,"0","Diego Legal Canisa","Th 7:00PM - 7:50PM","New Cabell Hall 383","Money and Banking","",Closed,22,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19728,ECON,3030,204,Discussion,"0","Haruka Hasegawa","Th 5:00PM - 5:50PM","Physics Bldg 218","Money and Banking","",Closed,21,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19729,ECON,3030,205,Discussion,"0","Haruka Hasegawa","Th 6:00PM - 6:50PM","Physics Bldg 218","Money and Banking","",Open,18,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19730,ECON,3030,206,Discussion,"0","Haruka Hasegawa","Th 7:00PM - 7:50PM","Physics Bldg 218","Money and Banking","",Closed,22,22,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19731,ECON,3030,207,Discussion,"0","Hundanol Kebede","Fr 2:00PM - 2:50PM","Dell 2 100","Money and Banking","",Closed,28,28,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19732,ECON,3030,208,Discussion,"0","Hundanol Kebede","Fr 3:00PM - 3:50PM","Dell 2 100","Money and Banking","",Open,26,28,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
19733,ECON,3030,209,Discussion,"0","Hundanol Kebede","Fr 4:00PM - 4:50PM","Dell 2 100","Money and Banking","",Open,25,28,0,,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
